calculator_name,calculator_url,query,normalized_query,clicks,impressions,ctr,average_position,period_start,period_end,position_group,query_character,seo_review_status,direct_relevance
실업급여,https://gyesanbox.kr/calculators/unemployment/,실업급여 계산,실업급여 계산,0,1,0%,45,2026-06-24,2026-08-04,21~50위,계산 방법 검색,데이터 부족,예
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,육아휴직 급여 계산기,육아휴직 급여 계산기,0,7,0%,33.71,2026-06-24,2026-08-04,21~50위,계산기 직접 검색,콘텐츠 확장 후보,예
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,육아휴직급여 계산기,육아휴직급여 계산기,0,6,0%,33.67,2026-06-24,2026-08-04,21~50위,계산기 직접 검색,콘텐츠 확장 후보,예
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,육아휴직기간계산기,육아휴직기간계산기,0,5,0%,40.8,2026-06-24,2026-08-04,21~50위,계산기 직접 검색,콘텐츠 확장 후보,예
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,육아휴직 기간 계산기,육아휴직 기간 계산기,0,4,0%,39.5,2026-06-24,2026-08-04,21~50위,계산기 직접 검색,콘텐츠 확장 후보,예
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,육아휴직급여 계산,육아휴직급여 계산,0,1,0%,11,2026-06-24,2026-08-04,11~20위,계산 방법 검색,데이터 부족,예
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,6+6 육아휴직 급여 계산,6+6 육아휴직 급여 계산,0,1,0%,39,2026-06-24,2026-08-04,21~50위,계산 방법 검색,데이터 부족,예
육아휴직급여,https://gyesanbox.kr/calculators/parental-leave/,육아휴직 급여 계산,육아휴직 급여 계산,0,1,0%,46,2026-06-24,2026-08-04,21~50위,계산 방법 검색,데이터 부족,예
대출 이자,https://gyesanbox.kr/calculators/loan/,원리금 계산기,원리금 계산기,0,15,0%,9.4,2026-06-24,2026-08-04,4~10위,계산기 직접 검색,CTR 개선 후보,예
대출 이자,https://gyesanbox.kr/calculators/loan/,원리금균등분할상환 계산기,원리금균등분할상환 계산기,0,6,0%,11,2026-06-24,2026-08-04,11~20위,계산기 직접 검색,순위 개선 후보,예
대출 이자,https://gyesanbox.kr/calculators/loan/,원금균등상환 계산기,원금균등상환 계산기,0,1,0%,10,2026-06-24,2026-08-04,4~10위,계산기 직접 검색,데이터 부족,예
대출 이자,https://gyesanbox.kr/calculators/loan/,원리금 균등 분할 상환 계산기,원리금 균등 분할 상환 계산기,0,1,0%,10,2026-06-24,2026-08-04,4~10위,계산기 직접 검색,데이터 부족,예
대출 이자,https://gyesanbox.kr/calculators/loan/,체증식 분할상환 계산기,체증식 분할상환 계산기,0,1,0%,10,2026-06-24,2026-08-04,4~10위,계산기 직접 검색,데이터 부족,예
대출 이자,https://gyesanbox.kr/calculators/loan/,원리균등상환 계산기,원리균등상환 계산기,0,1,0%,11,2026-06-24,2026-08-04,11~20위,계산기 직접 검색,데이터 부족,예
대출 이자,https://gyesanbox.kr/calculators/loan/,원리금균등상환 계산기,원리금균등상환 계산기,0,1,0%,11,2026-06-24,2026-08-04,11~20위,계산기 직접 검색,데이터 부족,예
대출 이자,https://gyesanbox.kr/calculators/loan/,대출 원리금 계산,대출 원리금 계산,0,1,0%,21,2026-06-24,2026-08-04,21~50위,계산 방법 검색,데이터 부족,예
대출 이자,https://gyesanbox.kr/calculators/loan/,대출 월납입금 계산,대출 월납입금 계산,0,1,0%,30,2026-06-24,2026-08-04,21~50위,계산 방법 검색,데이터 부족,예
대출 이자,https://gyesanbox.kr/calculators/loan/,만기일시상환 계산기,만기일시상환 계산기,0,1,0%,30,2026-06-24,2026-08-04,21~50위,계산기 직접 검색,데이터 부족,예
전세 vs 월세,https://gyesanbox.kr/calculators/rent-vs-jeonse/,전세대출금리,전세대출금리,0,1,0%,4,2026-06-24,2026-08-04,4~10위,제도·기준 확인,데이터 부족,예
